Model,Dataset,Batch Size,Learning Rate,Zero Stage,Loss Function,Epochs,Epoch Progress,Throughput,CPU Usage,Memory Usage,GPU Usage,GPU Memory Usage,Total Training Time,Accuracy,Precision,Recall
AlexNet,CIFAR100,512,0.0005,0,CrossEntropy,10,4,1024.72,38.52,35.22,19.76,5616.63,195.18,21.91,0.22,0.22
AlexNet,CIFAR100,512,0.0005,0,CrossEntropy,10,5,1020.12,38.49,35.80,19.04,5616.80,245.07,28.13,0.31,0.28
AlexNet,CIFAR100,512,0.0005,0,CrossEntropy,10,6,1018.18,38.50,35.82,20.05,5617.20,294.64,32.08,0.36,0.32
AlexNet,CIFAR100,512,0.0005,0,CrossEntropy,10,7,1016.04,38.59,35.83,22.31,5617.18,344.47,35.78,0.37,0.36
AlexNet,CIFAR100,512,0.0005,0,CrossEntropy,10,8,1014.25,38.57,35.83,20.49,5617.08,394.38,39.29,0.42,0.39
AlexNet,CIFAR100,512,0.0005,0,CrossEntropy,10,9,1012.93,38.44,35.82,22.76,5616.59,444.26,42.65,0.43,0.43
AlexNet,CIFAR100,512,0.0005,0,CrossEntropy,10,10,1012.38,38.46,35.81,20.70,5616.71,493.89,44.21,0.45,0.44
AlexNet,CIFAR100,512,0.0005,1,CrossEntropy,10,1,1020.63,37.50,35.10,21.18,5648.76,48.99,1.86,0.00,0.02
AlexNet,CIFAR100,512,0.0005,1,CrossEntropy,10,2,1011.68,37.99,35.84,21.78,5651.15,98.85,7.96,0.06,0.08
AlexNet,CIFAR100,512,0.0005,1,CrossEntropy,10,3,1007.18,38.26,35.88,21.62,5649.62,148.93,15.77,0.16,0.16
AlexNet,CIFAR100,512,0.0005,1,CrossEntropy,10,4,1007.54,38.13,35.90,19.83,5632.81,198.50,22.41,0.22,0.22
AlexNet,CIFAR100,512,0.0005,1,CrossEntropy,10,5,1006.39,38.17,35.87,22.02,5647.63,248.41,26.82,0.30,0.27
AlexNet,CIFAR100,512,0.0005,1,CrossEntropy,10,6,1002.90,38.64,35.86,21.78,5648.16,299.13,32.52,0.35,0.33
AlexNet,CIFAR100,512,0.0005,1,CrossEntropy,10,7,1003.01,38.32,35.91,22.46,5647.59,348.95,35.95,0.36,0.36
AlexNet,CIFAR100,512,0.0005,1,CrossEntropy,10,8,1002.83,38.38,35.91,21.54,5647.55,398.87,39.66,0.41,0.40
AlexNet,CIFAR100,512,0.0005,1,CrossEntropy,10,9,1003.79,38.24,35.92,21.48,5647.41,448.30,42.32,0.44,0.42
AlexNet,CIFAR100,512,0.0005,1,CrossEntropy,10,10,1004.39,38.28,35.91,22.40,5637.63,497.81,44.01,0.46,0.44
AlexNet,CIFAR100,512,0.0015,0,CrossEntropy,10,1,1013.56,37.71,35.66,20.47,5598.24,49.33,3.26,0.01,0.03
AlexNet,CIFAR100,512,0.0015,0,CrossEntropy,10,2,1020.70,38.08,35.74,19.97,5597.55,97.97,3.50,0.01,0.04
AlexNet,CIFAR100,512,0.0015,0,CrossEntropy,10,3,1023.10,38.10,35.73,19.39,5597.63,146.61,9.09,0.08,0.09
AlexNet,CIFAR100,512,0.0015,0,CrossEntropy,10,4,1023.31,38.11,35.71,19.47,5597.71,195.44,16.62,0.18,0.17
